,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__features__featureextractor__features_names,param_model__probability,param_model__kernel,param_model__C,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
63,5.214307594299316,0.165688989412607,0.15593128204345702,0.019890759524371648,"['len', 'num_punctuation', 'num_upper']",True,poly,10.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__C': 10}",0.7248677248677249,0.7414012738853503,0.7310704960835509,0.7260812581913499,0.7464607464607464,0.7339762998977445,0.008540880084989624,42
31,4.298864269256592,0.04301217765847241,0.18321695327758789,0.017930189011090395,"['len', 'num_punctuation', 'num_upper']",True,rbf,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1}",0.7293519695044473,0.7225647348951911,0.7288557213930348,0.7355163727959698,0.7415458937198067,0.73156693846169,0.006457151603174346,43
30,4.234338855743408,0.02649006517429406,0.16900310516357422,0.01506548336934877,"['len', 'num_punctuation']",True,rbf,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1}",0.7298335467349552,0.7243510506798516,0.7283950617283951,0.718078381795196,0.7481840193704601,0.7297684120617716,0.010070050031528426,44
33,5.122898197174072,0.24786209501322776,0.2197648048400879,0.04485562972591033,['len'],True,sigmoid,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 0.1}",0.7256410256410256,0.7116564417177914,0.7254658385093168,0.7160804020100503,0.7410161090458488,0.7239719633848066,0.010094247350643386,45
22,2.3124454021453857,0.03136293948438109,0.10220861434936523,0.02161885505738453,"['len', 'num_punctuation']",True,sigmoid,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__C': 0.1}",0.7249712313003452,0.7248322147651006,0.7205387205387206,0.7108571428571429,0.7376681614349776,0.7237734941792574,0.008636123362008037,46
23,3.639160919189453,0.09255780822356775,0.12678709030151367,0.009816120970432628,"['len', 'num_punctuation', 'num_upper']",True,sigmoid,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__C': 0.1}",0.7077997671711292,0.7133182844243793,0.7182940516273849,0.717827626918536,0.7295454545454545,0.7173570369373767,0.007173700613973658,47
80,5.7229651927948,0.21795870350297214,0.20396780967712402,0.009803278310848434,['dummy_feature'],True,sigmoid,10.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 10}",0.744578313253012,0.7609860664523044,0.7659115426105717,0.6719787516600265,0.6380208333333334,0.7162951014618496,0.05167168192362003,48
0,5.005007266998291,0.06276449880179692,0.18123941421508788,0.006331137897424276,['dummy_feature'],True,linear,0.1,,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'linear', 'model__C': 0.1}",0.744578313253012,0.7609860664523044,0.7659115426105717,0.6719787516600265,0.6380208333333334,0.7162951014618496,0.05167168192362003,48
35,5.364469909667969,0.04966769438772229,0.21221551895141602,0.027947340980274675,"['len', 'num_punctuation', 'num_upper']",True,sigmoid,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 0.1}",0.7100130039011704,0.7002583979328165,0.7137355584082157,0.7192755498059509,0.7311557788944724,0.7148876577885251,0.010227513755589028,50
62,5.235922574996948,0.5521897005257249,0.17118387222290038,0.009079202615426465,"['len', 'num_punctuation']",True,poly,10.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__C': 10}",0.6786703601108033,0.7231788079470198,0.7176781002638523,0.7074829931972789,0.7362924281984334,0.7126605379434775,0.01937222409133371,51
34,5.242143821716309,0.10004878270912843,0.18508710861206054,0.01395959741983223,"['len', 'num_punctuation']",True,sigmoid,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 0.1}",0.7086614173228346,0.7046632124352331,0.712998712998713,0.7069645203679369,0.7240506329113924,0.711467699207222,0.006857537484209332,52
20,4.76070876121521,0.06726306823466695,0.176200532913208,0.01713991934348579,['dummy_feature'],True,sigmoid,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__C': 0.1}",0.7421686746987952,0.7573221757322176,0.7762460233297985,0.6456043956043956,0.6194926568758344,0.7081667852482083,0.06322075165348746,53
45,2.069453811645508,0.09539156225602204,0.09490141868591309,0.017569359748674133,['len'],True,sigmoid,1.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__C': 1}",0.7043189368770764,0.6802139037433155,0.6943556975505857,0.687089715536105,0.7587672688629118,0.7049491045139988,0.02807062567189927,54
46,2.0187095165252686,0.05357954730299811,0.08483572006225586,0.003665556298741559,"['len', 'num_punctuation']",True,sigmoid,1.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__C': 1}",0.706140350877193,0.6957470010905126,0.7025862068965517,0.7004405286343612,0.7159956474428727,0.7041819469882982,0.006798408258711825,55
71,2.0907478809356688,0.04199468759389439,0.09051952362060547,0.0035393364884562725,"['len', 'num_punctuation', 'num_upper']",True,sigmoid,10.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__C': 10}",0.6945054945054945,0.6830309498399146,0.7110633727175081,0.706140350877193,0.7228144989339019,0.7035109333748024,0.01369020434135076,56
47,2.248782205581665,0.044075597857827255,0.0888596534729004,0.0026665782430331402,"['len', 'num_punctuation', 'num_upper']",True,sigmoid,1.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__C': 1}",0.6952695269526953,0.6855277475516867,0.7056277056277056,0.7040704070407041,0.7227615965480043,0.7026513967441591,0.012353165620419267,57
70,1.9158195018768311,0.07366907432251338,0.08150739669799804,0.006779397075776903,"['len', 'num_punctuation']",True,sigmoid,10.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__C': 10}",0.7040704070407041,0.6948968512486428,0.6990291262135923,0.6973684210526315,0.7176724137931034,0.7026074438697348,0.00810923591870952,58
21,2.0885735988616942,0.025687724989546416,0.09223933219909668,0.011832241017187358,['len'],True,sigmoid,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__C': 0.1}",0.7041619797525309,0.6887700534759358,0.7091295116772823,0.695067264573991,0.7056277056277056,0.700551303021489,0.007500200426215978,59
69,2.059148597717285,0.06491501326253589,0.09308161735534667,0.006599883103683143,['len'],True,sigmoid,10.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 'scale', 'model__C': 10}",0.7028824833702882,0.6809421841541756,0.6936170212765957,0.6864035087719298,0.6841552990556139,0.6896000993257208,0.007840675023675131,60
39,5.182125997543335,0.37013601824517933,0.26457581520080564,0.08965171760235888,"['len', 'num_punctuation', 'num_upper']",True,poly,1.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__C': 1}",0.6320346320346321,0.6526019690576652,0.6251808972503617,0.6553191489361702,0.6758620689655173,0.6481997432488693,0.01803578601080413,61
37,4.717237186431885,0.16729195118162296,0.17500901222229004,0.013105957991390279,['len'],True,poly,1.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__C': 1}",0.5915915915915916,0.6408045977011494,0.618978102189781,0.6169590643274854,0.6552706552706553,0.6247208022161326,0.021830024159889057,62
15,3.9513957023620607,0.05606223319574018,0.13686566352844237,0.01097472186614313,"['len', 'num_punctuation', 'num_upper']",True,poly,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__C': 0.1}",0.5925925925925926,0.6142649199417758,0.6120058565153733,0.5864661654135338,0.6389684813753582,0.6088596031677268,0.018502662478572213,63
38,4.615304183959961,0.10415183012396292,0.1749952793121338,0.011477935546044017,"['len', 'num_punctuation']",True,poly,1.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__C': 1}",0.5696784073506891,0.6029850746268657,0.5834586466165413,0.578386605783866,0.6338639652677279,0.5936745399291381,0.02287258512162852,64
13,3.774454879760742,0.0749276670786975,0.15917634963989258,0.024767420466363956,['len'],True,poly,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__C': 0.1}",0.5635528330781011,0.6032689450222882,0.5905044510385756,0.5761689291101055,0.6167400881057269,0.5900470492709595,0.01887904540353375,65
14,3.8985665321350096,0.06074763084268806,0.1425628185272217,0.006172359352552473,"['len', 'num_punctuation']",True,poly,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__C': 0.1}",0.5391849529780565,0.5740458015267176,0.5622119815668203,0.558641975308642,0.6083086053412463,0.5684786633442964,0.022854192202108815,66
16,5.090401363372803,0.04801455120829588,0.21875085830688476,0.012652421321610041,['dummy_feature'],True,rbf,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__C': 0.1}",0.7577937649880095,0.666183924692252,0.666183924692252,0.0,0.0,0.4180323228745027,0.34295723303414505,67
52,5.322578048706054,0.049780064806007246,0.21920423507690429,0.0036265712225796685,['dummy_feature'],True,rbf,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 1}",0.744578313253012,0.666183924692252,0.666183924692252,0.0,0.0,0.41538923252750315,0.3403697504492736,68
28,5.099543619155884,0.1300052107683151,0.22157840728759765,0.014601425772270627,['dummy_feature'],True,rbf,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 0.01, 'model__C': 0.1}",0.744578313253012,0.666183924692252,0.666183924692252,0.0,0.0,0.41538923252750315,0.3403697504492736,68
32,4.7597884178161625,0.02009658180625431,0.27530498504638673,0.12028015319740565,['dummy_feature'],True,sigmoid,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 0.1}",0.744578313253012,0.666183924692252,0.666183924692252,0.0,0.0,0.41538923252750315,0.3403697504492736,68
56,4.9291239261627195,0.03814091192450789,0.18909978866577148,0.004205476012411768,['dummy_feature'],True,sigmoid,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'sigmoid', 'model__gamma': 0.01, 'model__C': 1}",0.744578313253012,0.666183924692252,0.666183924692252,0.0,0.0,0.41538923252750315,0.3403697504492736,68
24,4.614291000366211,0.0935724213857842,0.17103633880615235,0.009156202462366501,['dummy_feature'],True,poly,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 0.1}",0.1807465618860511,0.666183924692252,0.666183924692252,0.0,0.0,0.302622882254111,0.3040948267733091,72
72,5.012588930130005,0.08877064201837093,0.1925753116607666,0.010031695213138965,['dummy_feature'],True,poly,10.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 10}",0.1807465618860511,0.666183924692252,0.666183924692252,0.0,0.0,0.302622882254111,0.3040948267733091,72
12,4.733014535903931,0.08146259495946123,0.17659859657287597,0.009406822665155362,['dummy_feature'],True,poly,0.1,scale,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 'scale', 'model__C': 0.1}",0.1807465618860511,0.666183924692252,0.666183924692252,0.0,0.0,0.302622882254111,0.3040948267733091,72
48,5.210066318511963,0.11133147836953212,0.2196507930755615,0.027838480905506394,['dummy_feature'],True,poly,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 1}",0.1807465618860511,0.666183924692252,0.666183924692252,0.0,0.0,0.302622882254111,0.3040948267733091,72
25,4.999654054641724,0.05179353010059939,0.1983095169067383,0.004305820374219117,['len'],True,poly,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 0.1}",0.004329004329004329,0.666183924692252,0.666183924692252,0.0,0.0,0.26733937074270164,0.3256590510241366,76
75,5.658738231658935,0.2193618565643872,0.217581844329834,0.021875148464475826,"['len', 'num_punctuation', 'num_upper']",True,poly,10.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 10}",0.23954372623574144,0.23709369024856597,0.2127659574468085,0.18467583497053044,0.22692307692307692,0.22020045716494466,0.020109736780425866,77
74,5.369445514678955,0.05145279397998246,0.20619850158691405,0.007304145551295615,"['len', 'num_punctuation']",True,poly,10.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 10}",0.18467583497053044,0.16367265469061876,0.16666666666666666,0.14457831325301204,0.18503937007874016,0.1689265679319136,0.01505463429818746,78
73,5.373387718200684,0.08225202131737144,0.20590739250183104,0.015785889909097905,['len'],True,poly,10.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 10}",0.07515657620041753,0.05907172995780591,0.06722689075630252,0.07112970711297072,0.046610169491525424,0.06383901470380442,0.010122047316426493,79
51,5.752911233901978,0.3616967455507308,0.22478561401367186,0.03235978681619129,"['len', 'num_punctuation', 'num_upper']",True,poly,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 1}",0.046610169491525424,0.0425531914893617,0.03829787234042553,0.017204301075268817,0.02145922746781116,0.03322495237287852,0.011721844137046595,80
50,6.216453886032104,0.09707037802765621,0.2176544189453125,0.015003012243689167,"['len', 'num_punctuation']",True,poly,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 1}",0.03829787234042553,0.0425531914893617,0.03411513859275053,0.01293103448275862,0.02145922746781116,0.029871292874621508,0.011023458796937353,81
49,5.961909389495849,0.24852627718237832,0.24756989479064942,0.02523196467169934,['len'],True,poly,1.0,0.01,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 1}",0.004329004329004329,0.017241379310344827,0.012958963282937365,0.004329004329004329,0.0,0.00777167025025817,0.0063353950856918535,82
26,5.197210311889648,0.0786042424161469,0.20484719276428223,0.015246656039524742,"['len', 'num_punctuation']",True,poly,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 0.1}",0.017204301075268817,0.0,0.004329004329004329,0.0,0.0,0.004306661080854629,0.0066632065200216365,83
27,5.274617481231689,0.06764285442995517,0.22522244453430176,0.016954400574923485,"['len', 'num_punctuation', 'num_upper']",True,poly,0.1,0.01,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'poly', 'model__gamma': 0.01, 'model__C': 0.1}",0.017204301075268817,0.0,0.004329004329004329,0.0,0.0,0.004306661080854629,0.0066632065200216365,83
